CarModel0,Mass_kg0,CarModel1,Mass_kg1,CarModel2,Mass_kg2,CarModel3,Mass_kg3,CarModel4,Mass_kg4,SumRandomValue,TotalMass,TotalLength,Velocity1,GravityCenter1,Velocity2,TheoreticalVelocity2,GravityCenter2,T12,TheoreticalT12,Velocity3,TheoreticalVelocity3,GravityCenter3,T23,TheoreticalT23
52FTGONDOLA,29710,29.3kGALTANK,36740,52FTGONDOLA,50033.26798305428,33.7kGALTANK,70883.27647876462,null,null,130.65848831260223,187366.54446181888,72.92,1.412789009313202,-2.1310815816023965,5.098606680542703,5.1155845672820135,-3.885988335706333,34.838,34.766,2.302988220078685,2.3764289403343746,-4.038205773190087,73.588,72.847
100TOPENTOPHOPPER,103346.20558336758,BIAUTORACK,58633.78292034074,3285CFCOVEREDHOPPER,58384.76112079189,33.7kGALTANK,109219.31630968985,null,null,138.5413011104502,329584.06593419006,76.49,2.999801188449606,-1.992693927416222,6.044468842327713,6.053238842960014,-3.848796816894461,26.867,26.842,4.2054949027003365,4.231276770733073,-4.032419863455542,52.628,52.498
52FTGONDOLA,29710,25.39kGALTANK,100818.82961141747,null,null,null,null,null,null,-63.58186205788378,130528.82961141747,35.56,1.6525979726103994,-2.444714830072837,4.646607925806312,4.63364128605908,-3.9077870000000003,34.259,34.304,1.7315655963833285,1.6586086121617443,-4.052264423985267,85.482,86.503
BIAUTORACK,60562.26136035587,68FTFLAT,38079.7735093501,null,null,null,null,null,null,35.117526639099054,98642.03486970597,50.95,3.7328145576873113,-2.212432283397488,5.889801843869944,5.897361340643093,-3.907787000000001,25.041,25.022,3.186638281392718,3.213624109767481,-4.041334598605113,60.150,59.969
33.7kGALTANK,90386.96048015165,66FTGONDOLA,83506.45287428384,BIAUTORACK,50612.691401481854,null,null,null,null,-88.54758114479982,224506.10475591736,70.03999999999999,3.9801349348412147,-1.9301095423959056,6.683608224037733,6.6762529824853765,-3.865950159214711,23.311,23.323,4.9576316009782,4.937221146460307,-4.029164238496856,46.487,46.573
4750CFCOVEREDHOPPER,106858.16634500264,5188COVEREDHOPPER,114680.7297436623,TRIAUTORACK,47990,null,null,null,null,-206.64433365369408,269528.89608866494,64.58000000000001,2.0494266049633123,-1.9627735959643773,5.787297045229306,5.770549040030145,-3.881244724848774,30.561,30.613,3.8278691192454533,3.775721263593881,-4.030425339385313,56.353,56.670
52FTGONDOLA,29710,BIAUTORACK,45360,TRIAUTORACK,52713.88029679995,53FTWELL,24950,52FTGONDOLA,94402.73315749704,294.89780093243166,247136.61345429698,115.30000000000001,1.6505309165794977,-1.6970700982475782,5.649556389784442,5.675608346163175,-3.7139752686369825,31.365,31.274,3.6166837202005078,3.6984945235857416,-4.024106622231313,57.119,56.625
68FTFLAT,102093.71130042222,23.5kGALTANK,35110,23.5kGALTANK,35110,null,null,null,null,-83.16586900856646,172313.7113004222,56.230000000000004,2.470069876045923,-2.0889220076241575,5.621736278314412,5.611241832881081,-3.9077870000000003,29.362,29.390,3.2031523569301843,3.1651430757809327,-4.035909029607473,61.817,62.099
73FTCENTERBEAM,126987.08438205073,BIAUTORACK,45360,66FTGONDOLA,91455.16767078075,68FTFLAT,37060,null,null,13.942362650844117,300862.25205283146,96.96000000000001,2.3429724710158593,-1.5241276499002983,6.3111945082083345,6.311971604965228,-3.7019229693233835,27.419,27.413,4.834112791368682,4.836754412881987,-4.018038541422671,47.663,47.655
52FTGONDOLA,109747.68145833335,25.39kGALTANK,50184.577982694806,null,null,null,null,null,null,-139.05719284917674,159932.25944102815,35.56,2.7559765063714354,-2.306098096255534,5.482218785171021,5.462294631705806,-3.9077870000000003,28.276,28.327,3.449782097604935,3.3841340860074585,-4.045743070498245,60.813,61.276
33.7kGALTANK,80639.48795301767,5188COVEREDHOPPER,28120,BNCOIL,29325.004298749594,66FTGONDOLA,109379.10151054712,23.5kGALTANK,36608.60910990889,251.92546210452298,284072.2028722232,89.75,3.80210554871776,-1.8157513019359028,6.567545978545737,6.584264955600531,-3.7910540463847715,23.698,23.662,4.804577443063232,4.85109823504152,-4.026716621780548,47.224,47.032
100TROPENTOPHOPPER,72453.07201387019,25.39kGALTANK,40910,TRIAUTORACK,47990,null,null,null,null,199.328380391945,161353.07201387017,62.99,3.388086681869914,-1.994906198259387,6.06438073488315,6.089585954842847,-3.87963497785921,25.818,25.755,3.5607167474732986,3.645480242648727,-4.032014301940885,56.469,55.965
BIAUTORACK,76325.55135986271,null,null,null,null,null,null,null,null,43.195484429587054,76325.55135986271,28.6,2.3321987926046788,-2.425198,4.829794270433158,4.844748324867417,-3.9077870000000003,31.124,31.074,1.3630587662731288,1.4623957172613313,-4.051346348376609,88.352,86.923
BIAUTORACK,70271.02191513598,BNCOIL,19140,BIAUTORACK,57294.93604227652,null,null,null,null,-91.54989193727769,146705.9579574125,70.89,1.7803346859960372,-2.0107226601962616,5.33039731901879,5.316105101275983,-3.871283444816526,32.845,32.894,2.370341909230994,2.304934438682215,-4.032933255846984,70.710,71.345
TRIAUTORACK,74477.3066820536,23.5kGALTANK,124800.08225749778,TRIAUTORACK,53522.52426603997,BNCOIL,120885.7410652945,BNCOIL,19140,-206.4318219876069,392825.6542708858,101.52000000000001,2.1407057369895566,-1.7069814022982168,6.06112000626063,6.050141174229641,-3.768915916322608,29.024,29.054,4.41959465225158,4.388884088060042,-4.023311988122173,51.002,51.155
3285CFCOVEREDHOPPER,77543.99643566046,68FTFLAT,117843.0040009901,BIAUTORACK,80338.6663864519,100TROPENTOPHOPPER,59487.95854405094,73FTCENTERBEAM,28120,-436.0143177420426,363333.6253671534,104.44,3.4892111708360143,-1.2596083063030643,7.046855741915751,7.025263057718463,-3.6228477176122036,23.160,23.200,5.728691792693348,5.67504706951193,-4.010384515705359,41.511,41.687
23.5kGALTANK,35110,66FTGONDOLA,33610,66FTGONDOLA,33610,TRIAUTORACK,47990,100TOPENTOPHOPPER,37317.18483642619,-250.57656681679626,187637.1848364262,103.61000000000001,3.0550538649742878,-1.6337066502814308,6.27883160388896,6.252744633192653,-3.7234516852766184,25.765,25.824,4.452336392189924,4.377952554442602,-4.022624341780308,49.681,50.033
73FTCENTERBEAM,88332.67135430111,23.5kGALTANK,35829.459008123085,BNCOIL,113320.27058633864,null,null,null,null,-279.7608071418417,237482.40094876284,55.18,1.5331224402645844,-2.281879796772281,5.068589652429033,5.039266463627283,-3.9077870000000003,33.919,34.027,2.8628515235973944,2.7544640244466994,-4.044731676229092,68.537,69.511
